,Name,Lat,Long,Gemeinde,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
225,Klostergasse,51.1697782,13.4661901,-,27.58,48,35.99,44,40.02,45,25.15,43,62.03,62,25.29,44
226,Lercha,51.1475048,13.4681041,-,30.72,42,32.3,36,36.32,38,28.37,39,65.24,55,30.31,40
227,Questenberg,51.1572193,13.4588122,-,33.79,48,35.37,42,39.39,44,26.05,45,68.31,61,33.38,46
228,Altstadt,51.164854,13.4707876,-,27.79,50,35.51,44,39.54,46,25.35,45,68.45,63,25.49,46
229,Cölln,51.1603114,13.4877715,-,30.29,49,36.24,44,40.27,46,25.5,43,57.14,58,25.63,44
230,Triebischtal,51.1486356,13.4591312,-,33.85,47,35.43,41,39.46,43,26.12,44,68.38,60,33.45,45
231,Oberspaar,51.1492912,13.49921,-,30.39,47,37.99,46,42.02,48,23.11,43,57.24,56,23.25,44
232,Klosterhäuser,51.1740793,13.4557629,-,29.15,51,37.56,46,41.59,48,26.72,45,63.49,64,26.86,46
233,Bad Gottleuba,50.851423,13.9445243,-,39.65,37,34.7,25,28.45,23,37.03,32,29.95,39,38.19,34
234,Feldschlößchen,51.1395588,13.9154813,-,17.09,26,44.54,38,48.57,40,29.64,34,14.71,18,19.75,32
235,Radeberg,51.1151413,13.9175257,-,14.79,23,23.73,41,23.77,40,19.45,34,13.98,18,17.45,29
236,Prossen,50.931162,14.1147956,-,38.27,63,46.45,53,40.2,50,48.78,59,29.27,48,49.94,61
237,Lauterbach,51.0683362,14.1128062,"Stolpen,Sachsen,Bundesrepublik Deutschland,Europe",27.59,40,44.27,42,38.02,39,46.6,48,19.15,23,30.07,46
238,Bühlau,51.087305,14.1048714,"Großharthau,Sachsen,Bundesrepublik Deutschland,Europe",26.95,39,44.67,42,38.41,40,47.0,49,18.5,22,29.43,44
239,Goldbach,51.1189075,14.1424585,"Bischofswerda,Sachsen,Bundesrepublik Deutschland,Europe",30.36,43,48.08,47,41.83,44,52.58,47,21.91,26,52.23,46
240,Birkigt,51.0112482,13.67759,-,10.64,24,3.1,6,12.99,20,6.21,14,21.69,43,9.18,21
241,Niederhäslich,50.9888388,13.6651092,-,14.28,29,6.15,12,11.46,18,9.64,21,23.97,43,12.81,26
242,Hainsberg,50.9835604,13.6326496,-,15.12,34,7.2,16,14.42,25,10.68,24,26.92,50,13.65,31
243,Deuben,50.9961024,13.6456544,-,13.49,30,5.57,11,13.24,21,9.05,20,25.75,47,12.03,27
244,Zauckerode,51.0174579,13.6396931,-,11.87,28,6.31,14,21.21,24,7.45,17,56.02,46,9.33,24
245,Schweinsdorf,50.9897462,13.6521772,-,15.55,32,6.3,14,12.74,21,9.79,22,25.24,46,14.09,29
246,Burgk,51.0024415,13.669471,-,11.37,24,3.44,6,13.22,20,6.93,14,22.32,43,9.9,21
247,Potschappel,51.0131482,13.662626,-,10.93,26,4.03,9,13.92,23,6.22,16,22.62,45,9.46,23
248,Somsdorf,50.9763786,13.6041243,-,17.93,41,10.0,23,18.05,31,13.49,32,32.23,57,16.46,38
249,Coßmannsdorf,50.9763653,13.6249545,-,16.14,37,8.22,19,16.31,26,11.71,27,30.5,52,14.68,34
250,Döhlen,51.0070347,13.6475354,-,11.94,28,5.17,10,14.06,24,7.23,19,24.05,47,10.47,26
251,Kleinzschachwitz,51.009631,13.854418,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",10.94,22,16.1,20,4.92,9,12.68,25,11.41,23,10.3,20
252,Kohlsdorf,51.031278,13.6341871,"Freital,Sachsen,Bundesrepublik Deutschland,Europe",12.4,26,7.94,18,19.26,21,9.25,18,53.38,41,9.83,21
253,Sachsenbergsiedlung,50.9809657,14.1285121,Hohnstein,36.58,53,42.07,47,35.81,44,44.39,53,28.13,37,45.55,55
254,Braunsdorf,51.0168066,13.5731578,-,21.52,34,17.21,23,21.24,25,14.34,26,56.04,47,14.91,30
255,Oberhermsdorf,51.019936,13.5906341,-,21.54,33,9.27,20,21.25,25,10.33,23,56.06,46,13.47,29
256,Dippoldiswalde,50.8950479,13.6633335,-,23.98,41,20.26,28,22.13,28,21.36,36,46.13,52,22.51,38
257,Waltersdorf,50.9496785,14.1071541,-,32.6,53,40.79,42,34.53,39,43.12,49,23.61,37,44.27,51
258,Fischergasse,51.1705519,13.4686898,-,27.47,47,35.88,43,39.91,45,25.04,42,61.56,60,25.18,43
259,Klostergut,51.1721838,13.4585254,-,28.23,51,36.64,46,40.67,48,25.8,45,63.59,64,25.94,46
260,Neudörfchen,51.152826,13.480133,-,25.2,42,35.7,38,39.73,40,22.77,37,68.65,57,22.91,38
261,Saalhausen,51.0112972,13.6161191,-,13.71,33,8.22,19,23.06,29,9.29,22,57.86,51,11.17,28
262,Rähnitz,51.1189656,13.7371476,-,9.51,20,28.26,27,32.29,29,13.36,23,36.99,31,9.55,22
263,Gommern,50.9801966,13.8443572,Heidenau,18.07,26,13.12,14,3.99,7,15.45,20,15.5,32,16.6,23
264,Mügeln,50.980018,13.8716349,Heidenau,13.63,27,14.91,18,5.78,11,17.23,24,15.56,30,12.98,25
265,Kleinsedlitz,50.9589817,13.8819169,Heidenau,25.01,32,20.06,21,8.06,15,22.39,27,21.96,32,23.55,29
266,Zehista,50.9372257,13.9245568,-,25.3,29,20.35,17,14.09,15,22.68,24,19.26,26,23.83,26
267,Mülbitz,51.280625,13.5298034,-,34.67,47,54.35,53,58.37,55,39.44,49,61.52,56,34.7,49
268,Zschieschen,51.2831179,13.5212774,-,35.43,48,55.11,55,59.14,56,40.21,51,62.29,57,35.47,50
269,Kötitz,51.1189743,13.57257,-,18.17,36,18.79,37,33.57,40,15.74,31,55.69,52,15.88,32
270,Neucoswig,51.1315615,13.5974731,-,16.93,38,31.71,42,35.74,44,16.99,38,48.38,49,16.64,37
271,Niedermeisa,51.1664801,13.4684959,-,27.4,47,35.81,42,39.84,44,24.97,42,61.85,61,25.11,43
272,Stenz,51.2657001,13.889241,-,31.06,43,49.42,49,53.44,51,34.51,45,40.24,44,34.16,45
273,Rottwerndorf,50.9246168,13.9620763,-,28.5,35,23.55,23,17.29,21,25.88,30,22.46,32,27.03,32
274,Löbsal,51.2275475,13.4340096,-,39.64,53,45.89,57,49.92,59,44.41,56,66.49,63,39.67,55
275,Triebischvorstadt,51.1613041,13.4734451,-,33.28,46,34.87,40,38.89,42,24.51,41,67.81,59,24.65,42
276,Görnische Vorstadt,51.1592519,13.4695369,-,32.85,45,34.43,39,38.46,41,25.12,42,67.37,58,32.45,43
277,Rauenthal,51.1585624,13.4614528,-,32.97,45,34.55,39,38.58,41,25.23,42,67.49,58,32.56,43
278,Kynastsiedlung,51.1612372,13.4516088,-,34.45,48,36.03,42,40.05,44,26.71,45,68.97,61,34.04,46
279,Lotzdorf,51.1278999,13.9072405,-,16.2,24,46.79,42,25.18,42,20.86,35,15.13,19,18.86,31
280,Stadtrandsiedlung,51.1282379,13.9541186,-,17.71,27,52.59,40,25.45,40,37.68,37,13.56,16,20.36,34
281,Ploschwitzer Höhe,50.9502493,13.8561418,-,22.4,28,17.45,16,11.2,13,19.78,22,22.95,30,20.94,25
282,Plossen,51.1561389,13.4753163,-,31.54,42,33.12,36,37.14,37,29.19,39,66.06,55,31.13,39
283,Neundorf,50.9168934,13.9798631,-,33.58,35,28.63,24,22.38,21,30.96,30,24.43,34,32.12,32
284,Vollung,51.1752598,14.0112097,Pulsnitz,33.84,36,52.19,43,56.22,44,37.29,39,22.55,26,36.94,38
285,Meißner Seite,51.1805494,14.0040247,Pulsnitz,32.82,32,51.17,39,55.2,40,36.27,35,21.53,22,35.92,34
286,Heidenau-Süd,50.97242,13.8786283,-,14.83,30,15.82,19,6.69,12,18.14,25,20.86,30,19.3,28
287,Dobra,51.013535,14.0277826,-,26.88,41,34.35,34,28.09,31,36.68,40,12.72,23,37.83,42
288,Augustusberg,50.8432304,13.9552134,-,37.84,40,32.9,28,26.64,26,35.23,35,31.81,41,36.38,37
289,Dölzschen,51.0263636,13.689257,-,7.75,20,4.54,11,13.05,23,3.16,9,18.36,41,5.92,17
290,Röderhäuser,51.1647262,14.0624279,-,36.21,34,54.56,40,58.59,42,39.66,36,25.6,25,39.31,35
