,Name,Lat,Long,Gemeinde,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
100,Elstra,51.220516,14.1350305,"Bautzen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",46.88,41,65.23,47,69.26,49,50.33,44,36.26,32,49.97,43
101,Großröhrsdorf,51.1456848,14.0199103,-,22.86,35,52.97,42,40.83,43,38.06,38,18.71,23,37.71,37
102,Meißen,51.1630871,13.4704939,-,33.21,46,34.79,40,38.82,42,24.44,41,67.73,59,24.58,42
103,Innere Altstadt,51.0517447,13.7372977,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",3.48,9,6.86,16,9.98,22,3.08,8,14.02,30,0.18,0
104,Stadt Wehlen,50.957091,14.0307534,"Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",25.21,43,33.39,33,27.14,30,35.72,39,22.72,33,36.88,42
105,Zöllmen,51.0430199,13.6109099,"Striesen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",13.18,27,16.58,21,20.6,23,10.03,19,54.73,43,10.6,22
106,Königstein,50.9185261,14.0732271,"Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",42.45,48,37.5,36,31.24,34,39.83,43,31.27,45,40.98,45
107,Dohna,50.955232,13.8587012,"Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",22.05,27,17.1,16,10.85,13,19.43,22,22.6,29,20.59,24
108,Naußlitz,51.0338644,13.6860039,"Dresden,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.54,18,4.45,10,12.96,22,2.95,7,17.44,39,5.71,15
109,Roitzsch,51.0539154,13.6092978,"Gorbitz,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",14.12,25,17.61,22,21.64,23,11.07,20,52.15,43,11.83,21
110,Stetzsch,51.0814688,13.6578325,-,9.92,22,10.53,23,25.32,25,7.49,16,47.44,38,7.63,17
111,Ockerwitz,51.0559822,13.6439177,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",10.23,22,10.12,21,21.42,25,7.97,16,19.56,41,7.93,18
112,Glashütte,50.8502095,13.7766767,-,35.17,45,30.22,33,23.6,29,32.55,39,39.09,53,33.7,42
113,Briesnitz,51.0639097,13.6679675,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",8.26,19,8.87,20,25.75,27,5.83,13,17.59,38,5.96,14
114,Blasewitz,51.0521778,13.7990205,"Dresden,Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",3.18,6,11.06,21,8.89,17,7.43,16,7.9,17,5.45,11
115,Rabenau,50.9631279,13.6418236,"Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",19.44,35,14.52,21,14.94,23,18.01,29,29.12,49,17.97,32
116,Heidenau,50.9735851,13.8753917,"Sächsische Schweiz-Osterzgebirge,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",14.66,29,15.65,18,6.52,12,17.97,25,20.69,29,19.13,27
117,Coswig,51.1267305,13.5783983,-,16.97,36,31.75,40,35.78,41,17.01,34,51.19,49,16.68,34
118,Kamenz - Kamjenc,51.270139,14.0948628,-,44.9,50,63.25,56,67.28,58,48.35,52,33.6,39,47.99,51
119,Sporbitz,50.9937401,13.8502349,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",11.44,22,14.54,18,4.83,8,16.87,24,13.58,27,10.8,21
120,Meußlitz,50.9973863,13.8551618,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",11.73,23,16.03,19,5.12,8,13.34,25,13.04,26,11.09,22
121,Häslich,51.2450926,14.0148977,Haselbachtal,42.64,48,60.99,54,65.02,56,46.09,50,31.34,38,45.73,50
122,Rochwitz,51.0494617,13.844271,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",7.86,17,15.23,32,13.38,27,12.33,27,6.17,11,10.34,22
123,Eichbusch,51.0322753,13.8774409,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",11.02,24,22.61,35,11.42,24,15.49,34,5.18,10,13.5,30
124,Reitzendorf,51.0253099,13.9039904,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",13.05,29,21.82,34,10.63,22,18.39,39,4.87,10,15.53,34
125,Großdrebnitz,51.0886388,14.1579683,-,33.61,48,50.29,50,44.04,47,57.32,53,25.17,31,56.97,52
126,Schmiedefeld,51.0857904,14.0729882,-,24.01,35,41.74,39,35.48,36,44.06,45,15.57,18,26.5,41
127,Seeligstadt,51.0984635,14.0439878,Großharthau,25.1,36,41.33,40,35.08,37,43.66,44,15.16,20,26.09,42
128,Bretnig,51.1473926,14.060793,Bretnig-Hauswalde,37.2,35,55.55,41,59.58,43,40.64,37,26.58,26,40.29,37
129,Hauswalde,51.1525612,14.0910055,Bretnig-Hauswalde,39.21,38,57.56,44,61.59,46,42.66,40,28.59,29,42.3,39
130,Pillnitz,51.0126628,13.8713801,-,10.58,22,17.75,25,6.56,14,14.32,30,9.59,17,11.94,26
131,Gickelsberg,51.1888145,14.054906,Ohorn,38.65,37,57.0,43,61.03,45,42.1,39,28.04,28,41.74,39
132,Möhrsdorf,51.2122853,14.0752371,Haselbachtal,43.33,44,61.69,51,65.71,52,46.78,47,29.23,35,46.43,46
133,Talpenberg,51.2172314,14.1171934,Elstra,47.97,42,66.32,48,70.35,50,51.41,44,37.35,33,51.06,44
134,Rehnsdorf,51.2100062,14.1051848,"Elstra,Bautzen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",47.8,42,66.16,48,70.19,50,51.25,44,37.19,33,50.9,44
135,Bischheim,51.2389546,14.0391546,Haselbachtal,40.47,44,58.83,50,62.85,52,43.92,47,29.18,34,43.57,46
136,Weißbach,51.2191032,14.0322523,Steina,37.74,41,56.1,48,60.13,50,41.2,44,26.45,31,40.84,43
137,Rennersdorf-Neudörfel,51.0607245,14.0670938,Stolpen,23.31,36,39.99,38,33.73,35,42.32,45,14.86,20,25.79,42
138,Birkwitz,50.9798791,13.8888737,-,14.52,30,26.56,23,20.3,21,28.89,30,13.43,25,30.04,32
139,Hinterjessen,50.9884421,13.9382506,Pirna,17.76,35,25.95,25,19.69,22,28.27,31,15.27,25,29.43,33
140,Wohla,51.2326913,14.1162887,"Elstra,Bautzen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",48.92,44,67.27,50,71.3,52,52.37,46,38.31,35,52.02,45
141,Doberzeit,50.9841188,13.9695887,Lohmen,19.47,36,27.66,26,21.4,23,29.99,32,16.98,26,31.14,34
142,Wilschdorf,51.0623894,14.013725,Dürrröhrsdorf-Dittersbach,18.99,31,35.67,33,29.41,30,37.99,39,10.54,14,21.47,37
143,Söbrigen,50.9941457,13.8828156,"Dresden,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",12.85,27,28.02,26,8.83,19,30.35,33,11.76,21,14.21,31
144,Posta,50.9665189,13.9539824,Pirna,29.57,36,24.62,25,18.36,22,26.95,31,17.2,27,28.1,33
145,Mühlsdorf,50.9953966,13.9872946,Lohmen,21.99,39,29.88,28,23.62,25,32.2,34,12.36,23,33.36,37
146,Ehrenberg,50.9907458,14.1518346,Hohnstein,35.08,53,43.52,48,37.27,45,45.85,54,26.63,36,47.0,56
147,Stürza,51.0116915,14.0627253,Hohnstein,29.04,44,36.8,37,30.54,34,39.13,44,14.88,26,40.28,46
148,Kemnitz,51.0708403,13.6644011,-,8.89,19,9.51,20,24.79,24,6.46,14,46.92,37,6.6,15
149,Großluga,50.9867115,13.8304426,"Dresden,Sachsen,Bundesrepublik Deutschland,Europe",16.84,23,11.9,11,2.77,5,14.22,18,15.21,30,15.38,20
150,Winkwitz,51.1817574,13.4714649,"Meißen,Dresden,Sachsen,Bundesrepublik Deutschland,Europe",33.63,48,38.67,50,42.7,52,27.92,50,60.49,58,33.67,50
