,Name,Lat,Long,Zu_Hause_Distanz,Zu_Hause_Dauer,Robotron_Distanz,Robotron_Dauer,Schule_Distanz,Schule_Dauer,Kletterarena_Distanz,Kletterarena_Dauer,Großeltern_Distanz,Großeltern_Dauer,Dresden Zentrum_Distanz,Dresden Zentrum_Dauer
144,Posta,50.9665189,13.9539824,20.58,73,22.98,83,13.42,49,25.45,90,17.12,59,23.17,82
145,Mühlsdorf,50.9953966,13.9872946,21.56,74,26.57,95,17.0,61,26.6,91,11.97,40,24.32,83
146,Ehrenberg,50.9907458,14.1518346,43.68,149,48.68,170,39.11,136,48.71,166,29.5,100,46.43,158
147,Stürza,51.0116915,14.0627253,29.45,107,34.46,128,24.89,94,34.49,124,16.69,61,32.21,116
148,Kemnitz,51.0708403,13.6644011,9.66,34,9.82,33,16.57,58,9.06,30,22.44,80,7.47,26
149,Großluga,50.9867115,13.8304426,12.96,43,11.85,41,3.0,10,11.1,37,12.66,46,11.07,37
150,Winkwitz,51.1817574,13.4714649,33.1,113,33.26,113,40.01,138,32.5,110,45.19,159,30.91,105
151,Wurgwitz,51.0255828,13.6276404,13.03,45,6.71,22,15.22,54,7.58,25,25.04,89,9.03,30
152,Kaitz,51.0139212,13.7275321,7.03,23,2.32,9,7.04,26,3.92,14,15.86,53,5.32,18
153,Wahnsdorf,51.1188501,13.6716604,13.26,46,17.0,60,20.71,74,13.63,49,21.49,73,11.26,42
154,Helmsdorf,51.0371158,14.0412767,29.21,100,34.21,121,24.65,87,34.24,117,15.04,50,31.96,109
155,Dobritz,51.1376519,13.4423689,34.22,118,34.37,117,41.12,142,33.62,114,46.99,164,32.02,110
156,Buschbad,51.1344205,13.4596209,32.61,112,32.77,111,39.52,137,32.02,109,45.39,159,30.42,104
157,Sonnenstein,50.95688,13.9513544,21.73,75,22.85,79,14.01,48,26.6,91,18.64,65,24.32,83
158,Heeselicht,51.0078998,14.0900772,32.62,112,37.62,134,28.06,99,37.66,130,24.3,82,35.38,122
159,Löbtau,51.0413452,13.6984581,7.47,27,4.67,16,10.58,39,2.71,9,19.48,71,3.46,12
160,Rottewitz,51.182858,13.4632389,33.0,113,33.16,112,39.91,138,32.4,110,45.09,159,30.81,105
161,Cunnersdorf,50.9596832,13.9620218,22.2,78,23.33,82,14.49,51,27.08,94,18.82,67,24.8,86
162,Niederhermsdorf,51.0221846,13.6157997,13.95,48,7.33,24,15.84,56,8.49,28,25.96,92,9.95,33
163,Cossebaude,51.0876124,13.6298379,13.83,48,13.98,47,20.73,73,13.23,44,26.6,95,11.63,40
